;y_test_0;y_pred_0;y_test_1;y_pred_1;y_test_2;y_pred_2;y_test_3;y_pred_3
16886;49.11318;48.425983;20.4575;25.149258;49.11318;26.103903;20.4575;26.988157
16887;12.388545;17.468401;24.69555;26.413418;12.388545;15.281995;24.69555;25.784433
16888;9.7064;8.700015;28.28526;31.044825;9.7064;12.549085;28.28526;29.09101
16889;21.20472;20.61722;12.2845;10.620832;21.20472;12.174455;12.2845;32.439465
16890;30.132529;27.554659;26.732686;42.492577;30.132529;62.554058;26.732686;37.49611
16891;174.03228;171.24284;34.092015;29.814272;174.03228;192.30714;34.092015;33.82565
16892;17.857952;15.390254;11.32691;12.187699;17.857952;32.89358;11.32691;13.66947
16893;17.586929;19.974947;45.89052;42.219666;17.586929;10.964135;45.89052;29.5197
16894;36.877733;36.76769;35.639016;46.83049;36.877733;31.51277;35.639016;43.321148
16895;28.094343;26.155077;9.759792;9.768351;28.094343;73.4956;9.759792;9.136393
16896;25.955017;22.6662;33.63738;34.150955;25.955017;21.899786;33.63738;33.42414
16897;40.718132;39.918194;18.669552;18.951431;40.718132;39.66685;18.669552;50.40004
16898;189.770784;171.27219;57.338352;57.496735;189.770784;162.53368;57.338352;33.63022
16899;12.244848;9.41492;26.791722;26.879786;12.244848;43.031338;26.791722;29.790098
16900;50.372822;46.748592;12.134008;10.767435;50.372822;32.224407;12.134008;16.26929
16901;36.572104;39.339706;75.609804;69.607605;36.572104;24.445189;75.609804;51.328827
16902;40.382211;42.79208;25.380915;26.184872;40.382211;20.19316;25.380915;24.905077
16903;36.390916;40.42596;37.85492;47.315113;36.390916;15.433232;37.85492;33.146908
16904;59.885595;53.84498;34.586892;46.06674;59.885595;231.69868;34.586892;45.623447
16905;12.3846;9.701217;46.12446;46.73639;12.3846;13.508866;46.12446;50.62821
16906;39.453102;38.030945;23.696095;33.563896;39.453102;19.089392;23.696095;31.874765
16907;33.24789;30.796976;13.733891;14.329303;33.24789;25.436872;13.733891;21.990217
16908;36.03285;36.317684;23.188209;25.392548;36.03285;34.761196;23.188209;23.674734
16909;19.482896;20.3696;46.765438;46.226257;19.482896;18.245848;46.765438;29.226557
16910;46.103912;42.641407;67.44426;62.76544;46.103912;37.0496;67.44426;63.611645
16911;18.055014;17.627962;38.13059;43.489647;18.055014;12.939187;38.13059;38.679085
16912;12.559499;9.851161;39.18537;40.97052;12.559499;60.52927;39.18537;35.428665
16913;19.576832;18.388819;12.173504;12.482849;19.576832;10.329301;12.173504;30.885916
16914;76.049824;64.97863;16.43649;17.237217;76.049824;190.6472;16.43649;28.610695
16915;56.1453;45.92998;12.231604;13.141623;56.1453;24.867983;12.231604;18.711405
16916;29.504192;30.699259;33.641595;30.836637;29.504192;12.941834;33.641595;29.530684
16917;72.708993;66.70337;73.450662;63.87239;72.708993;245.31966;73.450662;64.235245
16918;54.223494;45.98599;32.99958;30.68602;54.223494;32.6891;32.99958;32.07406
16919;54.720654;46.55891;12.876479;11.494572;54.720654;165.60829;12.876479;36.354145
16920;36.924676;28.080172;39.428815;45.66049;36.924676;35.801296;39.428815;51.853745
16921;33.7156;31.26645;47.512164;49.527824;33.7156;42.085674;47.512164;29.29858
16922;51.557436;43.644154;44.191115;52.237015;51.557436;27.975649;44.191115;44.567318
16923;19.02192;22.017733;20.363693;27.422352;19.02192;26.733725;20.363693;23.426428
16924;43.9152;37.27087;27.258164;28.710482;43.9152;13.421815;27.258164;28.516993
16925;33.078576;30.033579;36.304656;41.692017;33.078576;37.61903;36.304656;38.25365
16926;62.06319;57.38511;62.513308;52.87136;62.06319;40.426632;62.513308;58.52925
16927;19.92144;22.373392;36.022082;33.591763;19.92144;30.578836;36.022082;37.06329
16928;41.086144;41.61558;7.962474;8.06044;41.086144;42.03143;7.962474;7.98612
16929;24.82589;23.358843;26.555903;26.09034;24.82589;34.146557;26.555903;25.890306
16930;68.580705;63.969013;27.603386;28.330894;68.580705;243.57042;27.603386;28.769777
16931;55.650072;54.0461;38.611202;41.18135;55.650072;35.03072;38.611202;37.089172
16932;47.880595;43.841755;54.342288;61.1496;47.880595;229.80592;54.342288;63.76937
16933;32.5365;28.537157;26.669328;26.11641;32.5365;29.226957;26.669328;30.124659
16934;58.608004;69.45997;14.659904;17.960052;58.608004;219.04707;14.659904;33.559395
16935;16.761623;16.747377;6.779886;9.996588;16.761623;15.77905;6.779886;9.283434
16936;15.85528;15.639789;23.315968;30.104586;15.85528;14.746842;23.315968;26.106588
16937;11.456984;9.552211;41.990944;44.655403;11.456984;19.874664;41.990944;41.355835
16938;9.19035;4.1374693;12.152856;13.078173;9.19035;-6.7304335;12.152856;16.956205
16939;12.021983;11.638751;49.387464;54.507614;12.021983;26.968222;49.387464;38.135452
16940;735.49125;652.3131;12.576638;14.188122;735.49125;238.7411;12.576638;24.41751
16941;37.54615;38.6854;54.346566;54.40953;37.54615;29.092634;54.346566;37.333324
16942;26.76663;29.333475;29.112644;26.56694;26.76663;34.10818;29.112644;26.076712
